amie,nombre_institucion
05H00095,FAE N5
05H00097,LA INMACULADA
05H00110,PRIMERO DE ABRIL
05H00124,MANUEL GONZALO ALBAN RUMAZO
05H00145,HERMANOS PAZMIÑO
05H00158,MULALO
05H00186,PASTOCALLE
05H00208,SARA MARIA BUSTILLOS DE ATIAGA
05H00210,JUAN MANUEL LASSO
05H00240,FEDERACION DEPORTIVA DE COTOPAXI
05H00245,UNIDAD EDUCATIVA LA MANA
05H00318,UNIDAD EDUCATIVA GUASAGANDA
05H00322,UNIDAD EDUCATIVA PUCAYACU
05H00350,UNIDAD EDUCATIVA PANGUA
05H00384,GABRIELA MISTRAL
05H00472,TECNICO PUJILI
05H00543,DR.EDMUNDO CARBO
05H00550,UNIDAD EDUCATIVA 14 DE OCTUBRE VICENTE ROCAFUERTE
05H00568,JUAN TULCANAZ ARROYO
05H00595,ALICIA MARCUARD DE YEROVI
05H00617,UNIDAD EDUCATIVA 19 DE SEPTIEMBRE DR CAMILO GALLEGOS D
05H00648,JOSE PERALTA
05H00658,GENERAL RIVADENEIRA GENERAL TERAN
05H00698,GONZALO ESCUDERO
05H00801,UNIDAD EDUCATIVA SAN FRANCISCO DE LAS PAMPAS
06H00010,DR. LEONIDAS GARCIA ORTIZ
06H00013,CENT DE EDUC GEN BASICA GRAL JUAN LAVALLE
06H00032,CAP EDMUNDO CHIRIBOGA
06H00033,UNIDAD EDUCATIVA PENSIONADO OLIVO
06H00040,CAPULLITOS (JARDIN Y ESCUELA)
06H00096,UNIDAD EDUCATIVA CARLOS CISNEROS
06H00112,UNIDAD EDUCATIVA FISCOMISIONAL SANTA MARIANA DE JESUS
06H00123,NAZARENO
06H00129,UNIDAD EDUCATIVA SAN FELIPE NERI
06H00130,COLEGIO LEONARDO DA VINCI
06H00159,PEDRO VICENTE MALDONADO
06H00162,LA SALLE
06H00163,ESCUELA PARTICULAR INTERNACIONAL SAN IGNACIO DE LOYOLA
06H00166,UNIDAD EDUCATIVA MIGUEL ANGEL LEON PONTON
06H00168,ESCUELA DE EDUCACION BASICA EL DESPERTAR
06H00174,ESCUELA DE EDUCACION BASICA FISCAL DR GERMAN ABDO TOUMA
06H00215,UNIDAD EDUCATIVA UNIVERSITARIA MILTON REYES
06H00216,UNIDAD EDUCATIVA SAN VICENTE DE PAUL
06H00220,UNIDAD EDUCATIVA FISCOMISIONAL MARIA AUXILIADORA
06H00222,LEONTIEV VIGOTSKY
06H00223,FE Y ALEGRIA
06H00228,PRINCETON GARDEN SCHOOL
06H00232,UNIDAD EDUCATIVA ISABEL DE GODIN
06H00237,SALESIANO SANTO TOMAS APOSTOL
06H00358,COLEGIO DE BACHILLERATO TECNICO FISCAL LICTO
06H00471,ESCUELA FISCAL MIXTA BERNARDO CASTILLO
06H00527,UNIDAD EDUCATIVA SAN FRANCISCO DE SALES
06H00871,UNIDAD EDUCATIVA MARIA AUXILIADORA FE Y ALEGRIA
06H01044,GARCIA MORENO
06H01046,UNIDAD EDUCATIVA DEL MILENIO GUANO
06H01172,TENIENTE HUGO ORTIZ GARCES
06H01312,CELSO AUGUSTO RODRIGUEZ
07H00029,ENRIQUETA  DE WIND DE LANIADO
07H00036,UNIDAD EDUCATIVA PARTICULAR HERMANO MIGUEL
07H00058,UNIDAD EDUCATIVA MILITAR PARTICULAR 16 DE JUNIO
07H00077,UNIDAD EDUCATIVA PARTICULAR JUANA DE DIOS
07H00124,MANUEL I. ENCALADA MORA
07H00125,CARLOTA RODAS CUERVO DE DAVALOS
07H00206,PROF. ROMULO VIDAL ZEA
07H00223,23 DE ABRIL
07H00229,HEROES DEL 41
07H00289,COLEGIO DE BACHILLERATO HEROES DE JAMBELI
07H00334,DR. MANUEL BENJAMIN CARRION
07H00506,COLEGIO DE BACHILLERATO GRAL. VICENTE ANDA AGUIRRE
07H00630,DR. LUIS FELIPE BORJA
07H00635,PROVINCIA DE LOS RIOS
07H00672,PROF. TULA PEREZ DE VALENCIA
07H00689,UNIDAD EDUCATIVA PARTICULAR JUAN XXIII
07H00697,MUNICIPAL MONSEÑOR LEONIDAS PROAÑO VILLALBA
07H00710,ESCUELA DE EDUCACION BASICA CAP. CESAR EDMUNDO CHIRIBOGA GONZALEZ
07H00755,ESCUELA DE EDUCACION BASICA FEBRES CORDERO
07H00757,LUIS ENRIQUE CORDOVA
07H00773,ZULIMA VACA RIVERA
07H00801,UNIDAD EDUCATIVA PARTICULAR JUAN PABLO II
07H00870,ESCUELA AURELIO PRIETO
07H00879,DR. LEONIDAS GARCIA ORTIZ
07H00880,COLEGIO DE BACHILLERATO OLIVA CARDENAS DE SANCHEZ
07H00959,ESCUELA DE EDUCACION BASICA ANGEL SALVADOR OCHOA
07H01079,COLEGIO DE BACHILLERATO JAMBELI
07H01096,ESC. DE EDUC. BAS. CNEL. FELIX VEGA DAVILA
07H01106,DEMETRIO AGUILERA MALTA
07H01147,CARLOS ZAMBRANO OREJUELA
07H01154,COLEGIO DE BACHILLERATO LIC. FAUSTO MOLINA
07H01247,COLEGIO DE BACHILLERATO HUERTAS
08H00017,ESCUELA DE EDUCACION BASICA FISCOMISIONAL CRISTO REY
08H00023,ESCUELA EGB. REPUBLICA DEL ECUADOR
08H00030,UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE BENITO COTTOLENGO
08H00043,UNIDAD EDUCATIVA FISCAL ESMERALDAS LIBRES
08H00070,ESC. EGB. FISCOMISIONAL SAN JOSE OBRERO
08H00098,EGB LA PROVIDENCIA
08H00102,UNIDAD EDUCATIVA PARTICULAR LA INMACULADA
08H00107,ESCUELA EGB FISCOMISIONAL MADRE DEL SALVADOR
08H00141,ESCUELA DE EDUCACION GENERAL BASICA JOSE MARIA VELASCO IBARRA
08H00145,COLEGIO DE BACHILLERATO FISCOMISIONAL SAGRADO CORAZON
08H00148,UNIDAD EDUCATIVA FISCOMISIONAL DON BOSCO
08H00194,ESCUELA EGB FISCOMISIONAL NUEVO ECUADOR
08H00241,UNIDAD EDUCATIVA FISCAL BARTOLOMEZ RUIZ
08H00276,JUAN MONTALVO
08H00300,COLEGIO DE BACHILLERATO FISCAL SAN MATEO
08H00302,ESCUELA EGB FISCAL CESAR NEVIL ESTUPIÑAN BASS
08H00325,UNIDAD EDUCATIVA FISCAL TABIAZO
08H00334,UNIDAD EDUCATIVA FISCOMISIONAL SAN FRANCISCO DE ASIS
08H00339,ESCUELA EGB  PEDRO CORNELIO DROUET
08H00347,ESCUELA EGB FISCOMISIONAL BUEN PASTOR
08H00363,UNIDAD EDUCATIVA FISCOMISIONAL SAN DANIEL COMBONI
08H00366,UNIDAD EDUCATIVA FISCOMISIONAL MARIA AUXILIADORA
08H00375,UNIDAD EDUCATIVA FISCOMISIONAL ANGEL BARBISOTTI
08H00391,ESCUELA EGB 15 DE MARZO
08H00411,ESCUELA EGB FISCOMISIONAL DANIEL COMBONI
08H00461,UNIDAD EDUCATIVA BORBON
08H00464,ESCUELA EGB FISCAL MEXICO
08H00479,ESC. EGB FISCOMISIONAL PADRE AURERIO ELIAS MERA
08H00486,UNIDAD EDUC. FISCOMISIONAL CONCEPCION TEMBOURY
08H00496,COLEGIO DE BACHILLERATO FISCAL MALDONADO
