amie,nombre_institucion
09H05074,MARIA LUISA LUQUE DE SOTOMAYOR
09H05075,CIUDAD DE PLAYAS
09H05110,ESCUELA DE EDUCACION BASICA MARIA DE SAN JOSE
09H05115,UNIDAD EDUCATIVA ARSENIO LOPEZ
09H05120,ESCUELA DE EDUCACION BASICA ABDON CALDERON MUÑOZ
09H05139,SAN CARLOS
09H05232,ESCUELA DE EDUCACION BASICA FISCOMISIONAL FRANCISCO GARCIA JIMENEZ
09H05264,UNIDAD EDUCATIVA AMERICANO DE GUAYAQUIL
09H05268,UNIDAD EDUCATIVA SIR THOMAS MORE
09H05361,CENTRO DE EDUCACION INICIAL APRENDER JUGANDO
09H05365,UNIDAD EDUCATIVA PARTICULAR BILINGÜE LICEO PANAMERICANO
09H05366,UNIDAD EDUCATIVA MARISCAL SUCRE
09H05369,UNIDAD EDUCATIVA DELFOS
09H05418,ESCUELA DE EDUCACION BASICA PARTICULAR LUCIO SENECA
09H05514,GARCIA MORENO
09H05542,ESCUELA DE EDUCACION BASICA PARTICULAR ANCON
09H05560,ESCUELA DE EDUCACION BASICA  PARTICULAR CIUDAD DE SAMARIA
09H05583,E.E.B. ALBORADA
09H05647,UNIDAD EDUCATIVA FUTUROS NAVEGANTES
09H05664,SEMILLERO DE LA PATRIA
09H05712,ESCUELA DE EDUCACION BASICA FISCAL JULIO ESTRADA ICAZA
09H05713,UNIDAD EDUCATIVA FISCAL AMERICA
09H05714,ESCUELA DE EDUCACION BASICA FISCAL ARNULFO JARAMILLO SIERRA
09H05775,UNIDAD EDUCATIVA FAE NO 3 TAURA
09H05824,UNIDAD EDUCATIVA HARVEST
09H05942,UNIDAD EDUCATIVA BILINGÜE CENTRO EDUCATIVO LA MODERNA
09H05974,ESCUELA DE EDUCACION BASICA POLIBIO JARAMILLO SAA
09H05980,SOLER LUX DEI
09H05981,ESCUELA DE EDUCACION BASICA FISCAL DOLORES VEINTIMILLA DE GALINDO
09H06043,UNIDAD EDUCATIVA PARTICULAR LICEO LOS ANDES
09H06051,ESCUELA DE EDUCACION B. FISCAL ANTONIO FLORES JIJON
09H06130,UNIDAD EDUCATIVA SOFOS
09H06184,CENTRO DE EDUCACION GENERAL BASICA PARTICULAR CIUDAD DE NAZARETH
09H06185,CENTRO DE EDUCACION GENERAL BASICA APOSTOL SAN JUDAS TADEO
09H06217,CENTRO DE EDUCACION INICIAL LOS ANDES
09H06645,ESCUELA DE EDUCACIÓN BÁSICA FISCOMISIONAL PADRE JOSÉ ANTONIO GONZÁLEZ DE DURANA
09H06670,UNIDAD EDUCATIVA PARTICULAR SAN FRANCISCO DE ASÍS
09H06690,UNIDAD EDUCATIVA LOS DELFINES
09H06710,UNIDAD EDUCATIVA PARTICULAR HUGO ALEMÁN
09H06718,UNIDAD EDUCATIVA JOSÉ JOAQUÍN DE OLMEDO
10H00015,U.E. MADRE TERESA BACQ
10H00042,COLEGIO NUESTRA SEÑORA DE FATIMA
10H00071,UNIVERSITARIO UTN
10H00073,U.E. LA VICTORIA
10H00074,U.E. SAN PEDRO PASCUAL
10H00094,JUAN PABLO SEGUNDO
10H00097,U.E. ALFREDO ALBUJA GALINDO
10H00098,UNIDAD EDUCATIVA FISCOMISIONAL SALESIANA SANCHEZ Y CIFUENTES
10H00101,U.E. PARTICULAR ATAHUALPA
10H00104,UNIDAD EDUCATIVA LA SALLE
10H00118,UNIDAD EDUCATIVA TEODORO GOMEZ DE LA TORRE
10H00131,U.E. VICTOR MANUEL GUZMAN
10H00134,SAN FRANCISCO
10H00229,DANIEL REYES
10H00245,HERMANO MIGUEL
10H00247,SANTA LUISA DE MARILLAC
10H00273,UNIDAD EDUCATIVA CHALTURA
10H00274,UNIDAD EDUCATIVA SAN ROQUE
10H00336,ISLA SANTA ISABEL
10H00351,HERNANDO DE MAGALLANES
10H00369,UNIDAD EDUCATIVA CUELLAJE
10H00378,ELOY PROAÑO
10H00396,UNIDAD EDUCATIVA SANTA JUANA DE CHANTAL
10H00398,UNIDAD EDUCATIVA REPUBLICA DEL ECUADOR
10H00406,OTAVALO VALLE DEL AMANECER
10H00410,UNIDAD EDUCATIVA JACINTO COLLAHUAZO
10H00411,UNIDAD EDUCATIVA TEMPORAL OTAVALO
10H00432,UNIDAD EDUCATIVA MONSENOR ULPIANO PEREZ QUINONES
10H00468,FLORENCIO O LEARY
11H00011,UNIDAD EDUCATIVA FISCOMISIONAL LA INMACULADA
11H00015,UNIDAD EDUCATIVA FISCOMISIONAL SAN FRANCISCO DE ASIS
11H00016,UNIDAD EDUCATIVA LA PORCIUNCULA
11H00034,ESCUELA PARTICULAR VESPERTINA CONFESIONAL LA DOLOROSA
11H00043,UNIDAD EDUCATIVA PARTICULAR ANTONIO PEÑA CELI
11H00076,ESCUELA DE EDUCACION BASICA FISCOMISIONAL EDUVIGES PORTALET
11H00078,ESCUELA ALONSO DE MERCADILLO
11H00079,ESCUELA DE EDUCACION BASICA MATER DEI
11H00080,LAURO DAMERVAL AYORA 1
11H00104,U.E MUNICIPAL HEROES DEL CENEPA
11H00111,ESCUELA DE EDUCACIN BASICA MUNICIPAL PRADERA GHYGHKVFEDUCATIVA MUNICIPAL PRADERA
11H00134,COLEGIO DE BACHILLERATO 27 DE FEBRERO
11H00139,ESCUELA DE EDUCACION BASICA PARTICULAR SIMON BOLIVAR
11H00164,COLEGIO NACIONAL ADOLFO VALAREZO
11H00165,UNIDAD EDUCATIVA MANUEL IGNACIO MONTERO VALDIVIESO
11H00171,UNIDAD EDUCATIVA MUNICIPAL TIERRAS COLORADAS
11H00178,ESCUELA DE EDUCACION BASICA MUNICIPAL BORJA
11H00185,ESCUELA DE EDUCACION BASICA PARTICULAR SAN ANDRES
11H00194,UNIDAD EDUCATIVA MUNICIPAL CAPULI LOMA
11H00216,ESCUELA DE EDUCACION BASICA MUNICIPAL ECOLOGICA
11H00217,UNIDAD EDUCATIVA MUNICIPAL DR ANGEL FELICISIMO ROJAS
11H00222,UNIDAD EDUCATIVA MUNICIPAL MONSEÑOR JORGE GUILLERMO ARMIJOS
11H00277,COLEGIO DE BACHILLERATO (PARTICULAR) EUGENIO ESPEJO
11H00280,UNIDAD EDUCATIVA (FISCOMISIONAL) CALASANZ
11H00283,UNIDAD EDUCATIVA MARIETA DE VEINTIMILLA
11H00287,COLEGIO DE BACHILLERATO (FISCOMISIONAL) DANIEL ALVAREZ BURNEO
11H00310,COLEGIO DE BACHILLERATO (FISCOMISIONAL) SAN VICENTE FERRER
11H00322,UNIDAD EDUCATIVA FISCOMISIONAL CORAZON DE MARIA
11H00374,UNIDAD EDUCATIVA (FISCOMISIONAL) MANUEL JOSE RODRIGUEZ
11H00465,COLEGIO DE BACHILLERATO DR BALTAZAR AGUIRRE
11H00471,UNIDAD EDUCATIVA FISCOMISIONAL SANTA JUANA DE ARCO LA SALLE
11H00473,UNIDAD EDUCATIVA MARIA AUXILIADORA
11H00505,UNIDAD EDUCATIVA MONS SANTIAGO FERNANDEZ GARCIA
11H00585,EEB CARLOS MONTUFAR
11H00649,UNIDAD EDUCATIVA FISCOMISIONAL SAN JUAN BAUTISTA
11H00660,INSTITUTO TECNOLOGICO SUPERIOR NUESTRA SEÑORA DEL ROSARIO
11H00740,UNIDAD EDUCATIVA SANTA TERESITA
11H00759,COLEGIO DE BACHILLERATO TNTE MAXIMILIANO RODRIGUEZ
11H00811,UNIDAD EDUCATIVA LA DOLOROSA
11H00937,UNIDAD EDUCATIVA FISCOMISIONAL PADRE JORGE ABIATAR QUEVEDO FIGUEROA
11H01048,ESCUELA DE EDUCACION BASICA JOHN F. KENNEDY
11H01076,UNIDAD EDUCATIVA FISCOMISIONAL MARISTA
11H01160,UNIDAD EDUCATIVA FISCOMISIONAL DOMINGO CELI
11H01251,ESCUELA DE EDUCACION BASICA BERMEO VASQUEZ
11H01263,ESCUELA FISCOMISIONAL GRAN COLOMBIA
11H01357,COLEGIO DE BACHILLERATO MANUEL CARRION PINZANO
11H01381,COLEGIO DE BACHILLERATO CELINA VIVAR ESPINOSA
11H01384,UNIDAD EDUCATIVA FISCOMISIONAL FRAY CRISTOBAL ZAMBRANO
11H01465,COLEGIO DE BACHILLERATO VIRGILIO ABARCA MONTESINOS
11H01551,JOSE ANTONIO CAMPOS
11H01723,UNIDAD EDUCATIVA MONS. ALBERTO ZAMBRANO PALACIOS
11H01835,UNIDAD EDUCATIVA FISCOMISIONAL MONSENOR LUIS ALFONSO CRESPO CHIRIBOGA
11H01836,UNIDAD EDUCATIVA FISCOMISIONAL JULIO ERNESTO CELI
11H01963,COLEGIO DE BACHILLERATO PARTICULAR ANTONIO PEÑA CELI
12H00023,ESCUELA DE EDUCACION BASICA FRANCISCO ROBLES
12H00044,UNIDAD EDUCATIVA PARTICULAR MARCOS BENETAZZO
12H00074,UNIDAD EDUCATIVA ISABEL LA CATOLICA
12H00149,UNIDAD EDUCATIVA CARLOS ALBERTO AGUIRRE AVILES
12H00200,ROSA CHAVEZ SELLAN
12H00217,UNIDAD EDUCATIVA 29 DE AGOSTO
12H00255,CARITAS MAGICAS
12H00289,ESCUELA DE EDUCACION BASICA FAUSTO MISAEL OLALLA GAYBOR
12H00342,ESCUELA DE EDUCACION BASICA  ECUADOR
12H00468,UNIDAD EDUCATIVA 16 DE JULIO
12H00481,E.E.B GUARANDA
12H00502,ESCUELA DE EDUCACION BASICA JUJANILLO
12H00541,ESCUELA DE EDUCACION BASICA LA INMACULADA
12H00647,ESCUELA DE EDUCACION BASICA COSTA RICA
12H00656,ESCUELA DE EDUCACION BASICA NUEVO SAN JUAN
12H00671,ESCUELA DE EDUCACION BASICA 24 DE MAYO
12H00673,UNIDAD EDUCATIVA SAN JUAN
12H00686,E.G.B. LEON DE FEBRES CORDERO
12H00699,DESPERTAR
12H00718,UNIDAD EDUCATIVA AMERICA
12H00719,ESCUELA DE EDUCACION BASICA NUESTRA SEÑORA DE FATIMA
12H00732,UNIDAD EDUCATIVA NICOLAS INFANTE DIAZ
12H00752,FUTUROS DE LA PATRIA
12H00850,QUISQUIS
12H00874,UNIDAD EDUCATIVA QUEVEDO
12H00890,JUAN DE DIOS AVILES ZARATE
12H00958,SAN CARLOS
12H00961,TUNGURAHUA 2
12H00968,ESCUELA DE EDUCACION BASICA WILSON GOMEZ
12H00981,UNIDAD EDUCATIVA MANUEL VITERI CAMACHO
12H00983,UNIDAD EDUCATIVA SIMON BOLIVAR
12H01014,UNIDAD EDUCATIVA POTOSI
12H01018,ESCUELA DE EDUCACION BASICA 28 DE MAYO
12H01025,ESCUELA DE EDUCACION BASICA GABRIEL GARCIA MORENO
12H01030,UNIDAD EDUCATIVA URDANETA
12H01074,ESCUELA DE EDUCACION BASICA LOS GIRASOLES
12H01111,UNIDAD EDUCATIVA MANUEL CORDOVA GALARZA
12H01139,UNIDAD EDUCATIVA SEIS DE OCTUBRE DE VENTANAS
12H01142,UNIDAD EDUCATIVA PARTIUCLAR DR. CAMILO GALLEGOS DOMINGUEZ
12H01199,ESCUELA DE EDUCACION BASICA CALICUCHIMA
12H01221,ESCUELA DE EDUCACION BASICA REMIGIO ROMERO Y CORDERO
12H01233,UNIDAD EDUCATIVA ZAPOTAL
12H01237,ESCUELA DE EDUCACION BASICA JOSE DE SAN MARTIN
12H01254,ESCUELA DE EDUCACION BASICA 7 DE FEBRERO
12H01280,ESCUELA DE EDUCACION BASICA LIZARDO GARCIA AVILES
12H01407,NUEVA ERA
12H01425,UNIDAD EDUCATIVA FRANCISCO XAVIER AGUIRRE ABAD
12H01427,ESCUELA DE EDUCACION BASICA ARCADIO SOTO SANTANA
12H01433,ESCUELA DE EDUCACION BASICA AMADO VARGAS NIVELA
12H01461,ESCUELA DE EDUCACION BASICA DR VICTOR EMILIO ESTRADA
12H01463,ESCUELA DE EDUCACION BASICA GONZALO ZALDUMBIDE
12H01492,ESCUELA DE EDUCACION BASICA NICOLAS INFANTE DIAZ
12H01605,UNIDAD EDUCATIVA JUAN MONTALVO
12H01648,ESCUELA DE EDUCACION BASICA ATAHUALPA
12H01655,UNIDAD EDUCATIVA JOSE MARIA VELASCO IBARRA
12H01695,UNIDAD EDUCATIVA FLUMINENSE
12H01700,ESCUELA DE EDUCACION BASICA CENTINELA DE LOS RIOS
12H01701,ESCUELA DE EDUCACION BASICA JAPON
12H01708,ESCUELA DE EDUCACION BASICA SAGRADO CORAZON DE JESUS
12H01744,ESCUELA DE EDUCACION BASICA VICTOR MANUEL RENDON
12H01821,ESCUELA DE EDUCACION BASICA EL VERGEL
12H01851,ESCUELA DE EDUCACION BASICA JUAN SALINAS
12H01865,LUZ DE AMERICA
12H01878,ESCUELA DE EDUCACION BASICA SAN ANTONIO
12H02076,UNIDAD EDUCATIVA MUNICIPAL CIUDAD DE QUEVEDO
12H02509,ESCUELA DE EDUCACION BASICA EVITA ESTRADA
12H02517,UNIDAD EDUCATIVA DEL MILENIO CARMELINA GRANJA VILLANUEVA
12H02611,UEM SIMÓN BOLÍVAR
13H00119,ESCUELA PARTICULAR EL ROSARIO
13H00136,UNIDAD EDUCATIVA MANABI TECNOLOGICO
13H00143,UNIDAD EDUCATIVA MARIA DE LA MERCED
13H00150,ESCUELA DE EDUCACION BASICA FISCAL PABLO HANNIBAL VELA
13H00282,ESCUELA DE ED. BASICA PARTICULAR ACUARELA
13H00307,UNIDAD EDUCATIVA INFORMATICA PORTOVIEJO
13H00319,LATINOAMERICANO
13H00460,UNIDAD EDUCATIVA PARTICULAR CRISTO REY
13H00466,UNIDAD EDUCATIVA PARTICULAR JULIA NAVARRETE MENDOZA
13H00489,UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS
13H00493,LAS CUMBRES DE FE Y ALEGRIA
13H00525,UNIDAD EDUCATIVA MARIA MAGDALENA CEVALLOS
13H00530,UNIDAD EDUCATIVA ABDON CALDERON
13H00534,UNIDAD EDUCATIVA FISCOMISIONAL MERCEDES DE MARIA
13H00588,UNIDAD EDUCATIVA RODOLFO CHAVEZ RENDON
13H00635,PUEBLO NUEVO
13H00641,UNIDAD EDUCATIVA FISCOMISIONAL MADRE LAURA MONTOYA
13H00671,DR MIGUEL H ALCIVAR
13H00723,ESCUELA DE EDUCACION BASICA FISCAL CUENCA
13H00784,ATAHUALPA
13H00788,13 DE OCTUBRE
13H00840,LUZ DE AMERICA
13H01002,CINCO DE MAYO
13H01116,JUAN CRUZ AIZPRUA
13H01160,CARLOS POMERIO ZAMBRANO
13H01225,FRANK VARGAS PAZZOS
13H01227,22 DE AGOSTO
13H01435,JUAN ANTONIO VEGA ARBOLEDA
13H01438,EL CARMEN
13H01447,TACIO CASTILLO
13H01544,HUGO CRUZ ANDRADE
13H01574,JUAN PABLO II DE FE Y ALEGRIA
13H01668,CRISTOBAL COLON
13H01718,ESCUELA PABLO ZAMORA SALGADO
13H01850,ALEJANDRO HUMBOLDT
13H01925,8 DE ENERO
13H01998,ESCUELA DE EDUCACION BASICA FELIPE SAUL MORALES CASTRO
13H02002,EMILIO ESTRADA
13H02071,UNIDAD EDUCATIVA PUERTO CAYO
13H02112,UNIDAD EDUCATIVA PARTICULAR MARIA MERCEDES
13H02246,FELIX ALVARADO VERA
13H02265,UNIDAD EDUCATIVA SAN RAFAEL
13H02298,ESCUELA DE EDUCACION BASICA FISCOMISIONAL LA DOLOROSA FE Y ALEGRIA 1
13H02306,LITTLE PEOPLE
13H02335,UNIDAD EDUCATIVA PARTICULAR JULIO PIERREGROSSE
13H02351,MANUELA CAÑIZARES # 65
13H02370,U. E. JUAN MONTALVO
13H02374,UNIDAD EDUCATIVA STELLA MARIS
13H02375,UNIDAD EDUCATIVA ISRAEL
13H02382,COLEGIO FISCAL SAN JUAN
13H02397,U.E.F. 4 DE NOVIEMBRE
13H02433,UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE
13H02437,UNIDAD EDUCATIVA MARIA AUXILIADORA
13H02443,UNIDAD EDUCATIVA JOSE ANCHIETA FE Y ALEGRIA N°3
13H02462,UNIDAD EDUCATIVA LEONIE AVIAT
13H02497,TERESA DE CALCUTA
13H02501,FE Y ALEGRIA OSWALDO ALVAREZ BARBA 2
13H02561,REPUBLICA DEL ECUADOR
13H02655,ESCUELA DE EDUCACION BASICA FISCAL TEODORO WOLF 72
13H02657,ESCUELA DE EDUCACION BASICA ELOY ALFARO DELGADO
13H02674,UEF ANIBAL SAN ANDRES R N° 1
13H02678,UE PARTICULAR MONTECRISTI
13H02736,SEFORA ELOY ALFARO
13H02738,ESCUELA DE EDUCACION BASICA FISCAL LUIS A MARTINEZ
13H02769,ANIBAL SAN ANDRES N 2
13H02795,UNIDAD EDUCATIVA FISCAL VEINTITRES DE OCTUBRE
13H02811,UEF LA PILA
13H02816,CENTRO DE EDUCACION BASICA MARIA PIEDAD CASTILLO DE LEVI
13H02845,UNIDAD EDUCATIVA GUALE
13H02905,UNIDAD EDUCATIVA FISCAL CAMPOZANO
13H02964,ESCUELA DE EDUCACION BASICA BASE SUR
13H02986,ESCUELA DE EDUCACION BASICA FISCAL TUPAC YUPANQUI
13H03094,SEBASTIAN MUÑOZ
13H03182,SAN FRANCISCO DE SALES
13H03184,ROCAFUERTE MEDIO
13H03185,ESCUELA DE EDUCACION BASICA FISCOMISIONAL SAN JUAN BOSCO
13H03192,UNIDAD EDUCATIVA PARTICULAR CIUDAD DE SANTA ANA
13H03399,ESCUELA SATHYA SAY
13H03437,UNIDAD EDUCATIVA ING. VICENTE A. HURTADO POLIT
13H03496,REMIGIO CRESPO TORAL
13H03503,CHARAPOTO
13H03512,CHARAPOTO 75
13H03632,EUGENIO ESPEJO N° 29
13H03633,PEDRO SCHUMACHER
13H03635,SANTA LUISA DE MARILLAC
13H03685,UNIDAD EDUCATIVA FISCAL SUCRE
13H03753,12 DE OCTUBRE
13H03898,U.E. INMACULADA MARIA AUXILIADORA
13H03943,UNIDAD EDUCATIVA SUCRE MIELES
13H03947,MURACUMBO
13H03960,LA SIBERIA
13H04027,12 DE OCTUBRE
13H04126,24 DE MAYO
13H04160,CULTURA MACHALILLA
13H04171,UNIDAD EDUCATIVA JAIME ROLDOS AGUILERA
13H04195,UNIDAD EDUCATIVA FISCAL JAMA
13H04308,SAN VICENTE
13H04336,ELIAS CEDEÑO JERVES
13H04462,FLAVIO PALACIOS GARCIA
13H05091,TEMISTOCLES CHICA SALDARREAGA
13H05371,MARISCAL DE AYACUCHO
13H05380,ANTONIO JOSÉ DE SUCRE CEDEÑO CORTEZ
13H05386,DR. ALBERTO LARA ZEVALLOS
13H05390,BOCANA DEL BUA
13H05395,UNIDAD EDUCATIVA TARQUI
13H05406,UNIDAD EDUCATIVA LAS MERCEDES
13H05410,UNIDAD EDUCATIVA ANIBAL GONZALEZ ALAVA
13H05413,NIDAD EDUCATIVA JEREMIAS VELASQUEZ
13H05424,UNIDAD EDUCATIVA JULEIDY DEYANEIRA PINCAY MONTESDEOCA
14H00002,UNIDAD EDUCATIVA FISCOMISIONAL MARIA AUXILIADORA
14H00015,UNIDAD EDUCATIVA FISCOMISIONAL PURISIMA DE MACAS
14H00023,UNIDAD EDUCATIVA FISCOMISIONAL DON BOSCO
14H00048,PROCER JOSE CUERO Y CAICEDO
14H00094,ANTONIO GRANDA CENTENO
14H00116,RIO CENEPA
14H00142,ESCUELA DE EDUCACION BASICA FISCOMISIONAL CIUDAD DE CUENCA
14H00166,ESCUELA. GENERAL BASICA SUPERIOR CIUDAD DE AZOGUES
14H00184,RIO SANTIAGO
14H00223,ESCUELA DE EDUCACION BASICA FISCOMISIONAL JOSE CORSO
14H00240,ESCUELA DE EDUCACION BASICA FISCOMISIONAL SAGRADO CORAZON DE JESUS
14H00277,24 DE MAYO
14H00324,RIO UPANO
14H00336,8 DE DICIEMBRE
14H00372,EUDOFILO ALVAREZ
14H00474,GUALAQUIZA
15H00039,UNIDAD EDUCATIVA FISCOMISIONAL SAN JOSE
15H00050,UNIDAD EDUCATIVA FISCOMISIONAL JUAN XXIII
15H00058,UNIDAD EDUCATIVA FISCOMISIONAL PADRE OTTORINO TODESCATO
15H00138,UNIDAD EDUCATIVA FISCOMISIONAL SAN FRANCISCO JAVIER
15H00188,UNIDAD EDUCATIVA FISCOMISIONAL JAIME ROLDOS AGUILERA
15H00234,UNIDAD EDUCATIVA FISCOMISIONAL JUAN BAUTISTA MONTINI
15H00283,UNIDAD EDUCATIVA FISCOMISIONAL LEONARDO MURIALDO
15H00370,UNIDAD EDUCATIVA FISCOMISIONAL HERMANO MIGUEL
16H00006,ESCUELA FISCOMISIONAL FRAY ALVARO VALLADARES
16H00012,UNIDAD EDUCATIVA SAN VICENTE FERRER
16H00020,UNIDAD EDUCATIVA NUESTRA SEÑORA DE POMPEYA
16H00028,ANDOAS
16H00053,LUIS FREIRE ROBALINO
16H00147,FRAY JACINTO DAVILA
16H00159,UNIDAD EDUCATIVA CAMILO GALLEGOS DOMINGUEZ
16H00166,CRISTOBAL COLON
16H00178,UNIDAD EDUCATIVA FISCOMISIONAL MONSEÑOR ANTONIO CABRI
16H00477,INSTITUTO CANELOS
17H00001,UNIDAD EDUCATIVA SAGRADO CORAZON DE JESUS HERMANAS BETHLEMITAS
17H00003,SEBASTIAN DE BENALCAZAR
17H00019,SAN GABRIEL
17H00020,MILITAR ELOY ALFARO
17H00021,UNIDAD EDUCATIVA DE LA INMACULADA
17H00022,SAGRADOS CORAZONES DE RUMIPAMBA
17H00027,UNIDAD EDUCATIVA PARTICULAR EXPERIMENTAL LA DOLOROSA
17H00063,JAN KOMENSKY
17H00070,ALVERNIA
17H00084,ARCO IRIS OCCIDENTAL
17H00087,CENTRO DEL MUCHACHO TRABAJADOR NO 2
17H00097,CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRION N2
17H00101,SANTA MARIA DE LOS ANGELES
17H00139,COTOCOLLAO
17H00175,ANDRES BELLO
17H00181,TARQUINO IDROBO
17H00182,JUAN RAIMUNDO FIGUEROA
17H00186,ALFONSO DEL HIERRO LA SALLE
17H00220,SANTA MARIA EUFRASIA
17H00232,LICEO POLICIAL
17H00244,HUMBERTO MATA MARTINEZ
17H00307,TECNICO SALESIANO DON BOSCO
17H00309,ISAAC NEWTON
17H00323,CRISTIANO VERBO
17H00351,MARIA MAGDALENA
17H00364,SANTA CRUZ DE LA PROVIDENCIA
17H00374,MARQUESA DE SOLANDA
17H00400,SAN MARINO
17H00401,UNIDAD EDUCATIVA RINCON DEL SABER
17H00402,ACADEMIA AERONAUTICA MAYOR PEDRO TRAVERSARI
17H00411,JUAN PABLO II FE Y ALEGRIA
17H00417,PRIMICIAS DE LA CULTURA DE QUITO
17H00427,MARIA AUGUSTA URRUTIA
17H00436,SAN MARCELO EUGENIO DE SANTA CRUZ Y ESPEJO
17H00449,FEDERICO GARCIA LORCA
17H00539,MARIA ANGELICA IDROBO
17H00550,SAN JOSE
17H00561,AIDA GALLEGOS DE MONCAYO
17H00574,PENSIONADO SUDAMERICANO
17H00579,SAN JOSE LA SALLE
17H00586,AGAPE
17H00594,AVELINA LASSO DE PLAZA
17H00667,QUINTILIANO SANCHEZ
17H00672,SAN FRANCISCO DE SALES
17H00677,SANTO DOMINGO DE GUZMAN
17H00680,MANUELA CAÑIZARES
17H00705,DON BOSCO
17H00716,MARIA AUXILIADORA
17H00740,ANTONIO JOSE DE SUCRE
17H00741,CARDENAL DE LA TORRE
17H00742,LICEO MATOVELLE
17H00754,SAN ANDRES
17H00758,MUNICIPAL FERNANDEZ MADRID
17H00791,SIMON BOLIVAR
17H00804,SAN PEDRO PASCUAL
17H00820,SAN CARLOS
17H00822,MARIA DE NAZARET
17H00828,LA PROVIDENCIA
17H00830,PEDRO PABLO BORJA N 1
17H00845,HERMANO MIGUEL LA SALLE
17H00850,UNIDAD EDUCATIVA PARTICULAR LA PRESENTACION
17H00864,INSTITUTO NACIONAL MEJIA
17H00871,MIGUEL DEL HIERRO
17H00872,EUGENIO ESPEJO
17H00884,NUEVE DE OCTUBRE
17H00910,CINCO DE JUNIO
17H00921,TECNICO SUCRE
17H00934,CONCENTRACION DEPORTIVA PICHINCHA MATUTINA
17H00953,REPUBLICA DE RUMANIA
17H00994,HUMBERTO VACA GOMEZ
17H01010,SAN FRANCISCO DE QUITO
17H01031,COLEGIO MUNICIPAL JUAN WISNETH
17H01039,SAN JUAN BOSCO
17H01042,MUNDO FELIZ
17H01044,BICENTENARIO D7
17H01056,RIOBAMBA
17H01058,VALENCIA HERRERA
17H01085,LICEO DE LOS ANDES
17H01088,MARISTA
17H01103,MARTIM CERERE
17H01106,DE AMERICA MARIA A CARRILLO DE MATA M
17H01108,NUEVO MUNDO
17H01127,VIRGINIA LARENAS
17H01128,CONSEJO PROVINCIAL DE PICHINCHA
17H01173,SANTA MARIA D MAZZARELLO
17H01200,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ DE FE Y ALEGRIA
17H01208,GIORDANO BRUNO
17H01217,EMAUS DE FE Y ALEGRIA
17H01225,JUAN PIO MONTUFAR
17H01227,JOSE MARIA VELASCO IBARRA
17H01261,SANTA TERESITA
17H01275,OSWALDO LOMBEYDA
17H01279,UNIDAD EDUCATIVA CRISTIANA NEW LIFE
17H01286,NUEVA PRIMAVERA
17H01311,JULIO E. MORENO
17H01344,ATENAS SCHOOL
17H01367,FUERZA AEREA ECUATORIANA N.1
17H01384,COLEGIO PARTICULAR JIM IRWIN
17H01395,QUITUMBE
17H01396,SU CAMBIO POR EL CAMBIO
17H01403,FRAY JODOCO RICKE
17H01444,MUNICIPAL MANUEL CABEZA DE VACA
17H01446,LOS ILINIZAS
17H01448,ALANGASI
17H01449,EDUCAR 2000
17H01462,CIUDAD DE SAN GABRIEL Q7
17H01471,SAN ESTEBAN DEL VALLE
17H01485,BENJAMIN CARRION
17H01495,BARTOLOME DE LAS CASAS
17H01505,JULIO MORENO PEÑAHERRERA
17H01529,ISM INTERNATIONAL ACADEMY
17H01550,NICOLAS JIMENEZ
17H01551,LUXEMBURGO
17H01556,TARQUI
17H01565,REPLICA JUAN PIO MONTUFAR
17H01566,CALDERON II
17H01567,UNIDAD EDUCATIVA FE Y ALEGRIA LA DOLOROSA
17H01571,ABDON CALDERON
17H01599,PAUL DIRAC
17H01601,BATALLA DE JAMBELI
17H01611,BRETHREN
17H01612,ESPAÑA
17H01619,ATAHUALPA
17H01621,ELENA ENRIQUEZ
17H01624,NAHIM ISAIAS BARQUET
17H01625,MIGUEL ANGEL BUONARROTI
17H01631,ING JUAN SUAREZ CHACON
17H01633,SAUL O
17H01639,ALFREDO CISNEROS
17H01645,NICOLAS JIMENEZ
17H01658,UNIDAD EDUCATIVA MUNICIPAL CALDERON
17H01660,CONOCOTO
17H01684,SAN LUIS GONZAGA
17H01696,MERCEDES DE JESUS MOLINA N2
17H01697,BORJA MONTSERRAT
17H01701,NICOLAS AGUILERA
17H01704,NAVAL COMANDANTE CESAR ENDARA PEÑAHERRERA
17H01705,AMABLE ARAUZ
17H01706,SANTA TERESITA DEL VALLE
17H01708,LICEO CRISTIANO HENRY DAVIS
17H01711,SAN VICENTE DE PAUL
17H01712,UNIDAD EDUCATIVA NAVAL COMANDANTE CESAR ENDARA PEÑAHERRERA
17H01716,SAINT DOMINIC SCHOOL
17H01718,ABELARDO FLORES
17H01722,GONZALO RUALES BENALCAZAR
17H01723,FRANZ SCHUBERT
17H01730,UNIDAD EDUCATIVA PARTICULAR LA SALLE
17H01739,UNIDAD EDUCATIVA PARTICULAR BILINGÜE SEK-LOS VALLES
17H01740,CUMBAYA
17H01744,CARLOS AGUILAR
17H01755,COLEGIO MENOR SAN FRANCISCO DE QUITO
17H01758,TRES DE DICIEMBRE
17H01766,CRISTO REY
17H01774,UNIDAD EDUCATIVA MATOVELLE
