id_parr,nombre_parroquia
070450,BALSAS
070903,OCHOA LEON (MATRIZ)
060104,VELOZ
130851,SAN LORENZO
040102,TULCAN
170180,SAN ANTONIO
070654,RIO BONITO
090656,LOS LOJAS (ENRIQUE BAQUERIZO MORENO)
100103,SAGRARIO
190350,GUAYZIMI
070702,EL PARAISO
240153,CHANDUY
240152,COLONCHE
050161,TANICUCHI
180105,LA MERCED
080165,TABIAZO
070850,MARCABELI
080651,LA UNION
040452,JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)
071201,SANTA ROSA
170129,SAN ISIDRO DEL INCA
140550,SANTIAGO DE MENDEZ
120501,QUEVEDO
170131,SOLANDA
070104,NUEVE DE MAYO
110650,AMALUZA
092056,VIRGEN DE FATIMA
180801,CIUDAD NUEVA
190550,YANTZAZA (YANZATZA)
100250,ATUNTAQUI
110156,MALACATOS (VALLADOLID)
210155,EL ENO
110163,QUINARA
110301,CATAMAYO
120251,GUARE
170102,CARCELEN
010105,EL VECINO
100101,CARANQUI
120508,24 DE MAYO
100353,IMANTAG
091901,BOCANA
130301,CHONE
090158,TENGUEL
230152,PUERTO LIMON
150754,SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)
010161,QUINGEO
091952,LA VICTORIA (ÑAUZA)
130155,RIOCHICO (RIO CHICO)
130153,CRUCITA
070704,MILTON REYES
170502,SAN PEDRO DE TABOADA
092250,SIMON BOLIVAR
180756,GARCIA MORENO (CHUMAQUI)
010165,SAYAUSI
080452,CHURA (CHANCAMA) (CAB. EN EL YERBERO)
160252,SHELL
230106,SANTO DOMINGO DE LOS COLORADOS
170186,ZAMBIZA
090150,GUAYAQUIL
130156,SAN PLACIDO
130452,SAN PEDRO DE SUMA
090111,SUCRE
132050,JAMA
050553,MULALILLO
210450,SHUSHUFINDI
140255,EL ROSARIO
060550,CHUNCHI
190352,NUEVO PARAISO
170159,CHECA (CHILPA)
170352,ALOASI
132250,SAN VICENTE
120350,MONTALVO
050153,GUAITACAMA (GUAYTACAMA)
180750,PELILEO
090101,AYACUCHO
111055,VICENTINO
131950,PUERTO LOPEZ
170250,CAYAMBE
180250,BAÑOS DE AGUA SANTA
050351,MORASPUNGO
131301,SANTA ANA
080654,TONSUPA
070701,ECUADOR
110901,CATACOCHA
092053,GRAL. PEDRO J. MONTERO (BOLICHE)
010112,SUCRE
170128,SAN BARTOLO
140357,STA SUSANA DE CHIVIAZA (CAB EN CHIVIAZA)
170850,PEDRO VICENTE MALDONADO
131351,AYACUCHO
170150,QUITO
070952,CASACAY
900351,MANGA DEL CURA
210150,NUEVA LOJA
100458,SAN RAFAEL
010154,CHECA (JIDCAY)
131750,PEDERNALES
180107,MATRIZ
140201,GUALAQUIZA
080753,LAGARTO
230156,EL ESFUERZO
150156,PUERTO NAPO
010108,MACHANGARA
040150,TULCAN
180155,HUACHI GRANDE
121350,QUINSALOMA
050105,SAN BUENAVENTURA
130658,PUERTO DE CAYO
170165,LLANO CHICO
120650,CATARAMA
180757,GUAMBALO (HUAMBALO)
080358,SAN JOSE DE CHAMANGA
130102,12 DE MARZO
170251,ASCAZUBI
170163,GUAYLLABAMBA
090107,NUEVE DE OCTUBRE
092050,SAN JACINTO DE YAGUACHI
080166,TACHINA
